id,date,subject,counterbalance,condition,session,trial,side_dropped_stone,got_two_rewards,platforms_stabilized,comment
206,14.05.2022,pasa,controlfirst,control,2,6,left,yes,two,
207,14.05.2022,pasa,controlfirst,control,2,7,left,yes,two,
208,14.05.2022,pasa,controlfirst,control,2,8,left,yes,two,
209,15.05.2022,pasa,controlfirst,test,3,1,right,yes,two,
210,15.05.2022,pasa,controlfirst,test,3,2,left,yes,two,
211,15.05.2022,pasa,controlfirst,test,3,3,left,yes,two,
212,15.05.2022,pasa,controlfirst,test,3,4,right,yes,two,
213,15.05.2022,pasa,controlfirst,test,3,5,left,yes,two,
214,15.05.2022,pasa,controlfirst,test,3,6,left,yes,two,
215,15.05.2022,pasa,controlfirst,test,3,7,right,yes,two,
216,15.05.2022,pasa,controlfirst,test,3,8,right,yes,two,
217,16.05.2022,pasa,controlfirst,test,4,1,right,yes,two,
218,16.05.2022,pasa,controlfirst,test,4,2,left,yes,two,
219,16.05.2022,pasa,controlfirst,test,4,3,right,yes,two,
220,16.05.2022,pasa,controlfirst,test,4,4,right,yes,two,
221,16.05.2022,pasa,controlfirst,test,4,5,left,yes,two,
222,16.05.2022,pasa,controlfirst,test,4,6,left,yes,two,
223,16.05.2022,pasa,controlfirst,test,4,7,right,yes,two,
224,16.05.2022,pasa,controlfirst,test,4,8,right,yes,two,
225,14.05.2022,asega,testfirst,test,1,1,right,yes,two,
226,14.05.2022,asega,testfirst,test,1,2,left,yes,two,
227,14.05.2022,asega,testfirst,test,1,3,right,yes,two,
228,14.05.2022,asega,testfirst,test,1,4,left,yes,two,
229,14.05.2022,asega,testfirst,test,1,5,right,yes,two,
230,14.05.2022,asega,testfirst,test,1,6,left,yes,two,
231,14.05.2022,asega,testfirst,test,1,7,right,yes,two,
232,14.05.2022,asega,testfirst,test,1,8,right,yes,one,
233,15.05.2022,asega,testfirst,test,2,1,left,yes,one,
234,15.05.2022,asega,testfirst,test,2,2,left,yes,one,
235,15.05.2022,asega,testfirst,test,2,3,left,yes,two,
236,15.05.2022,asega,testfirst,test,2,4,right,yes,two,
237,15.05.2022,asega,testfirst,test,2,5,right,yes,two,
238,15.05.2022,asega,testfirst,test,2,6,left,yes,two,
239,15.05.2022,asega,testfirst,test,2,7,right,yes,two,
240,15.05.2022,asega,testfirst,test,2,8,left,yes,one,
241,16.05.2022,asega,testfirst,control,3,1,left,yes,one,
242,16.05.2022,asega,testfirst,control,3,2,left,yes,two,
243,16.05.2022,asega,testfirst,control,3,3,left,yes,two,
244,16.05.2022,asega,testfirst,control,3,4,left,yes,two,
245,16.05.2022,asega,testfirst,control,3,5,left,yes,two,
246,16.05.2022,asega,testfirst,control,3,6,left,yes,two,
247,16.05.2022,asega,testfirst,control,3,7,left,yes,one,
248,16.05.2022,asega,testfirst,control,3,8,left,yes,one,
249,17.05.2022,asega,testfirst,control,4,1,right,yes,one,
250,17.05.2022,asega,testfirst,control,4,2,right,yes,one,
251,17.05.2022,asega,testfirst,control,4,3,right,yes,one,
252,17.05.2022,asega,testfirst,control,4,4,right,yes,two,
253,17.05.2022,asega,testfirst,control,4,5,right,yes,one,
